http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?catalogId=10001&langId=-1&storeId=166904&demoKey=d,Alabama A&M University,Alabama
http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?catalogId=10001&langId=-1&storeId=33911&demoKey=d,Alabama State University,Alabama
http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?catalogId=10001&langId=-1&storeId=10090&demoKey=d,Athens State University,Alabama
http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?catalogId=10001&langId=-1&storeId=10090&demoKey=d,Bishop State Community College,Alabama
http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?catalogId=10001&langId=-1&storeId=10090&demoKey=d,Calhoun Community College,Alabama
http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?catalogId=10001&langId=-1&storeId=111406&demoKey=d,Carrington College,Alabama
http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?catalogId=10001&langId=-1&storeId=113404&demoKey=d,Carrington College California,Alabama
http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?catalogId=10001&langId=-1&storeId=15553&demoKey=d,Chamberlain College of Nursing,Alabama
http://www.devry.efollett.com/,DeVry University Online and Centers,Alabama
http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?catalogId=10001&langId=-1&storeId=10209&demoKey=d,Faulkner University,Alabama
http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?catalogId=10001&langId=-1&storeId=10469&demoKey=d,Huntingdon College,Alabama
http://www.devry.efollett.com/,Keller Graduate School of Management,Alabama
http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?catalogId=10001&langId=-1&storeId=119405&demoKey=d,Shelton State Community College,Alabama
http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?catalogId=10001&langId=-1&storeId=10648&demoKey=d,Tuskegee University,Alabama
http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?catalogId=10001&langId=-1&storeId=10095&demoKey=d,University Of Montevallo,Alabama
http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?catalogId=10001&langId=-1&storeId=102904&demoKey=d,University of Mobile,Alabama
http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?catalogId=10001&langId=-1&storeId=151906&demoKey=d,University of North Alabama,Alabama
http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?catalogId=10001&langId=-1&storeId=111406&demoKey=d,Carrington College,Alaska
http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?catalogId=10001&langId=-1&storeId=113404&demoKey=d,Carrington College California,Alaska
